resenhas,abandonos,relendo,querem_ler,lendo,leram,favoritos,desejados,trocam,avaliaram
4,20,0,164,5,314,15,32,9,179
2,0,1,392,24,166,13,31,2,93
1,2,0,52,4,94,4,1,1,53
9,44,0,102,16,286,4,7,36,148
3,3,0,121,8,93,1,8,9,56
0,3,1,33,0,70,1,1,1,42
3,4,1,38,3,82,8,4,3,49
2,5,0,37,2,54,2,3,7,25
0,1,0,40,1,59,4,3,3,27
1,3,2,66,3,17,0,2,1,4
3,0,1,39,0,118,10,12,2,61
2,4,3,225,16,105,11,25,3,43
0,2,0,23,0,95,4,4,3,39
0,1,0,26,1,27,3,1,4,16
2,2,0,13,2,27,2,0,5,12
275,820,47,4.336,636,19.543,1.031,448,459,8.937
0,0,0,20,3,29,2,2,1,18
112,11,8,308,10,12.151,486,125,87,5.815
0,3,0,14,3,24,2,2,3,16
1,4,0,87,5,101,5,6,6,41
0,1,0,8,1,13,0,2,2,5
0,2,0,64,2,41,8,7,2,26
0,4,0,81,8,25,0,12,4,11
0,0,0,14,2,32,5,2,0,17
0,1,2,80,9,56,1,2,4,21
7,3,1,232,15,89,9,3,1,61
0,1,0,13,1,32,0,1,3,14
0,1,0,21,0,20,0,0,4,10
6,4,1,40,4,89,3,7,5,47
0,2,1,184,12,46,4,10,0,12
1,1,0,13,1,21,0,1,2,9
1,1,1,13,1,10,1,3,3,6
1,0,0,14,0,23,3,3,2,8
0,1,0,3,0,4,1,1,1,2
163,133,9,3.082,141,7.819,691,530,85,4.401
0,0,0,8,0,26,2,0,2,16
0,0,0,7,0,10,0,1,1,6
0,0,0,2,0,12,1,0,1,7
0,0,0,2,0,6,0,1,0,3
1,1,0,58,2,9,0,0,3,5
1,0,0,10,2,13,0,1,2,6
0,2,0,15,0,12,0,1,2,8
0,0,1,1,0,10,2,0,1,6
3,1,1,284,20,131,12,22,3,70
52,195,4,875,92,5.696,96,96,158,2.708
3,5,11,457,39,162,12,25,5,62
19,89,2,1.239,62,3.961,177,343,37,1.927
57,56,12,1.012,70,5.634,159,91,57,2.415
15,28,1,555,13,1.020,62,147,10,583
1,10,2,115,12,228,4,5,19,112
1,1,2,232,16,152,19,19,3,68
3,1,0,32,5,112,1,3,2,65
0,2,1,40,2,186,13,10,8,85
12,11,2,308,48,350,18,20,18,168
5,6,1,317,24,223,17,43,8,126
2,4,0,86,11,134,16,4,2,65
2,0,0,5,0,42,3,2,1,22
2,6,1,171,26,89,6,17,2,43
0,6,0,40,4,37,1,1,3,14
3,2,0,110,10,143,7,28,7,75
0,0,0,42,2,56,1,8,2,30
0,0,1,23,0,21,1,6,1,9
1,3,0,54,1,180,5,6,13,84
1,2,0,139,11,61,5,18,1,31
0,0,0,7,0,10,1,1,0,6
0,1,0,92,16,52,2,5,1,18
1,0,1,47,0,134,3,14,5,49
1,2,1,120,9,80,7,10,2,25
0,0,0,71,1,108,8,28,5,57
1,0,0,8,1,1,0,2,0,2
1,3,0,78,2,57,4,15,2,32
0,0,0,1,0,25,1,1,1,15
1,0,1,22,0,24,5,6,1,14
1,0,0,5,1,1,0,0,0,2
0,0,0,4,1,1,0,1,0,2
0,0,0,14,0,10,0,4,2,8
0,5,0,46,8,48,2,7,5,19
0,0,0,13,0,9,0,2,2,7
0,0,0,2,0,5,0,1,0,2
0,0,0,9,0,14,2,1,2,7
0,0,0,17,1,4,1,0,2,2
7,30,1,128,14,1.009,25,27,39,467
62,294,6,1.107,269,2.343,51,76,180,1.150
7,27,3,216,23,534,11,17,36,253
22,49,7,973,87,1.821,65,71,48,849
9,16,3,374,13,1.234,33,77,21,676
6,4,1,47,1,319,12,5,9,145
2,4,1,119,13,112,8,14,4,75
5,15,2,461,38,265,17,54,3,140
1,1,0,88,10,56,2,9,5,24
0,0,0,47,2,29,1,1,1,12
24,7,7,265,24,1.420,130,36,18,763
8,3,0,53,2,234,22,7,2,145
21,17,8,603,59,763,46,74,7,424
1,1,0,14,0,128,18,6,1,83
1,0,0,25,3,58,1,2,3,37
0,2,1,25,0,16,0,5,1,5
0,3,1,54,6,58,2,6,2,24
1,0,0,3,0,67,7,2,2,35
0,1,0,12,2,32,2,2,3,18
0,1,0,17,1,24,2,2,1,16
0,0,0,7,0,83,2,4,2,50
3,9,1,173,12,104,13,30,2,44
0,0,0,17,0,19,0,1,1,15
0,0,0,2,0,1,0,1,0,1
0,0,0,1,0,6,0,0,0,3
0,1,0,5,0,7,0,0,1,3
0,0,0,3,1,21,1,1,0,11
0,0,0,8,0,8,1,0,1,3
11,11,5,220,30,949,46,30,27,451
39,224,12,2.513,76,9.857,223,625,150,4.304
2,5,1,76,7,103,2,10,4,49
112,11,8,308,10,12.151,486,125,87,5.815
47,28,2,984,63,1.258,221,226,4,728
22,2,1,82,5,1.983,64,17,13,994
0,4,0,123,9,129,8,13,8,62
0,8,1,72,3,152,5,9,6,73
1,0,0,17,1,52,3,5,2,30
5,9,2,134,4,318,25,16,7,149
0,5,2,73,4,430,24,18,12,198
13,4,5,490,39,604,33,27,26,305
1,0,1,59,2,83,4,5,1,39
0,1,1,357,18,234,10,11,1,92
0,0,0,5,0,19,0,1,0,6
0,0,1,68,2,57,2,13,3,26
0,0,0,8,1,14,1,1,0,6
1,1,1,50,2,71,4,2,2,35
3,1,0,5,2,13,2,1,1,8
19,21,3,507,48,1.911,110,37,44,916
2,1,1,328,21,77,1,16,1,32
0,0,0,26,2,14,0,2,1,4
13,33,6,830,54,881,16,30,66,489
39,183,13,1.799,231,1.930,123,214,37,950
2,2,0,34,5,48,2,3,7,27
32,7,1,921,80,528,59,76,5,310
3,8,1,64,4,82,8,5,4,39
2,27,3,130,14,286,17,14,16,129
0,9,0,55,8,81,1,5,11,30
1,1,0,63,1,105,6,6,5,56
1,0,0,75,11,58,3,5,4,32
0,1,2,103,4,213,10,5,1,91
1,11,1,83,6,108,9,5,4,51
1,3,2,25,0,58,2,5,4,34
0,2,0,16,1,50,2,1,6,20
32,7,1,921,80,528,59,76,5,310
0,1,0,17,4,108,4,1,5,50
0,1,0,3,4,21,1,1,5,11
0,1,0,9,0,12,0,0,3,5
4,12,1,251,24,695,36,41,15,326
18,7,1,463,25,786,65,81,21,433
20,9,4,400,58,626,99,53,5,343
5,12,1,215,17,533,24,20,20,260
2,0,1,7,1,76,6,2,4,35
1,3,0,80,6,173,8,10,4,77
1,1,0,11,1,15,1,0,1,6
0,0,1,5,2,4,1,1,0,3
0,1,0,4,1,1,3,1,0,3
18,7,1,463,25,786,65,81,21,433
0,1,0,3,1,10,2,0,1,8
0,0,0,52,1,10,1,9,0,2
0,0,0,14,0,16,0,0,0,11
2,0,1,155,0,93,4,44,1,45
0,0,0,1,0,20,0,0,4,16
39,36,6,501,60,2.547,182,55,81,1.247
3,0,1,17,0,14,1,2,2,8
1,0,0,2,2,9,0,1,0,6
0,0,0,2,0,1,1,0,0,1
385,25,1,3.809,71,3.134,194,844,5,2.502
309,26,3,2.865,97,2.303,215,568,5,1.918
45,0,0,1.066,25,201,25,146,3,168
18,4,1,1.020,16,44,6,125,3,41
99,5,1,3.271,49,1.424,100,840,7,914
248,11,2,3.424,71,2.232,184,772,3,1.732
19,3,0,860,19,126,11,59,6,126
452,61,3,4.258,189,4.448,325,855,20,3.210
42,1,1,1.048,8,202,16,200,4,205
39,8,0,1.744,41,186,17,281,2,175
73,13,0,3.591,121,704,72,562,4,572
101,0,1,1.455,16,709,58,286,4,578
181,6,1,2.415,53,865,56,480,5,786
27,0,0,598,3,154,3,71,1,137
116,174,27,3.910,1.110,1.733,458,1.014,9,1.238
93,38,9,7.435,278,1.942,391,1.510,5,1.237
239,5,2,2.598,85,1.802,158,376,4,1.592
0,1,0,19,8,0,3,1,0,4
182,9,1,3.108,44,1.638,121,591,2,1.303
244,26,0,3.474,115,1.121,69,571,7,940
6,3,1,366,10,32,9,46,2,27
585,15,2,5.278,145,4.385,419,1.067,3,3.591
4.122,517,233,19.648,2.760,62.296,7.556,4.140,188,41.648
72,1,0,1.514,23,492,51,281,2,433
42,0,1,927,54,456,49,152,1,349
40,0,0,808,35,195,18,142,1,160
0,0,0,2,1,1,0,0,0,8
76,9,0,1.926,87,558,18,369,1,482
277,22,0,1.114,119,1.315,45,91,9,1.145
39,1,0,778,22,237,19,170,1,220
0,0,0,1,0,0,0,0,0,0
402,88,11,5.789,269,10.370,865,1.276,108,6.559
350,125,14,6.459,304,11.270,1.304,1.105,119,6.524
54,6,0,1.768,47,301,9,298,2,266
,,,,,,,,,
22,33,1,1.239,40,2.055,67,134,33,979
20,0,0,524,11,76,8,94,0,65
701,171,15,9.110,935,12.027,1.083,1.649,41,8.204
669,818,33,16.288,1.249,35.575,3.575,2.255,730,17.744
,,,,,,,,,
55,3,1,1.556,20,352,61,238,2,290
145,6,1,2.151,24,1.269,144,311,8,1.053
795,51,6,6.424,295,10.647,1.266,1.301,12,8.305
795,51,6,6.424,295,10.647,1.266,1.301,12,8.305
260,14,4,3.576,110,3.883,604,697,2,3.036
111,14,0,2.156,38,745,34,321,17,619
176,5,0,2.376,68,1.470,69,414,6,1.178
225,17,3,3.819,49,2.405,567,799,15,1.942
113,41,2,2.239,59,889,56,346,18,731
19,0,0,1.181,17,110,9,119,2,96
70,6,0,1.715,38,743,70,352,5,542
92,1,0,1.748,59,585,48,229,10,496
101,7,0,2.038,67,696,48,325,3,580
88,7,0,1.923,34,812,74,366,8,652
193,37,3,2.760,116,1.982,92,349,16,1.617
36,5,1,1.180,31,606,19,169,14,345
36,5,1,1.180,31,606,19,169,14,345
543,102,5,8.716,269,6.470,1.332,1.973,10,5.240
209,15,1,3.026,76,2.414,158,631,5,1.887
124,27,2,1.631,51,1.189,73,149,18,933
389,32,1,4.778,132,2.461,270,1.003,14,2.066
128,14,1,1.951,31,928,75,457,9,769
111,17,0,2.893,58,712,63,635,5,602
959,399,29,13.695,888,33.428,3.017,2.520,348,19.504
242,141,14,5.810,261,10.230,720,1.107,158,5.701
82,1,0,1.418,43,475,26,179,3,391
83,5,0,1.770,55,425,67,317,7,369
17,2,6,389,186,172,32,47,1,145
165,133,6,5.241,225,7.435,508,785,120,4.218
65,11,2,2.003,46,496,63,305,4,430
130,3,1,2.256,38,1.304,137,415,2,1.026
50,0,1,924,8,597,20,321,1,470
46,6,5,5.085,124,1.210,302,1.210,2,735
53,26,1,1.739,71,2.621,79,215,32,1.213
695,27,3,5.673,208,8.130,1.007,992,10,6.416
852,304,88,16.771,658,50.586,5.679,2.861,571,24.642
639,123,4,7.378,318,4.998,430,1.756,27,4.159
132,44,1,3.033,170,871,82,551,15,731
66,11,1,1.866,46,790,68,271,7,625
454,156,9,7.703,299,14.175,1.477,1.635,104,8.595
98,3,0,2.087,33,1.005,72,437,1,778
116,185,7,5.484,749,3.391,566,835,25,2.160
211,10,0,3.677,76,1.351,108,755,5,1.085
174,43,4,4.605,146,3.978,649,869,37,2.614
0,1,0,85,0,2,0,32,2,5
180,11,0,2.890,50,1.766,110,522,6,1.376
147,7,0,2.103,35,970,56,411,6,808
48,3,0,1.218,15,222,12,250,3,213
71,1,0,1.207,12,431,62,306,4,377
43,11,0,1.357,33,860,50,172,9,550
239,45,5,4.633,137,6.310,466,983,38,3.833
180,11,0,2.890,50,1.766,110,522,6,1.376
12,0,0,591,10,58,4,50,3,51
215,20,0,3.625,84,1.185,94,680,4,1.004
214,18,0,2.557,93,2.089,185,404,10,1.717
31,1,0,641,27,119,16,118,4,126
14,2,0,529,7,113,3,59,2,91
91,1,0,1.540,54,627,63,293,2,483
15,2,0,490,10,68,2,56,8,66
279,5,1,3.070,61,3.103,499,581,3,2.520
6,1,0,16,3,4,0,1,0,13
1.159,1.701,128,68.304,1.540,151.538,8.455,4.022,1.225,41.763
1.078,1.202,55,22.729,1.694,57.757,4.802,4.101,1.252,28.738
1.856,266,9,13.912,992,14.792,1.479,2.418,37,11.723
67,14,2,1.541,19,330,27,182,18,306
32,6,1,1.610,22,517,48,237,2,421
45,17,0,1.553,40,413,66,201,17,339
95,25,1,3.074,84,1.523,205,672,6,1.088
462,125,2,5.287,131,7.585,626,1.228,30,5.470
28,17,1,1.845,55,145,15,280,10,119
125,46,2,1.967,44,2.188,145,332,24,1.460
259,151,14,6.932,789,5.688,1.432,2.096,7,3.874
62,4,1,1.294,23,424,40,96,7,347
78,8,1,1.543,26,508,43,227,12,429
715,521,44,19.307,2.208,12.062,3.554,4.062,52,8.080
455,37,5,4.066,153,6.637,594,863,10,5.063
583,748,37,70.595,1.037,38.417,3.140,2.844,696,18.237
23,12,0,1.407,23,176,18,132,12,128
68,34,0,2.682,48,372,76,726,3,317
1.856,266,9,13.912,992,14.792,1.479,2.418,37,11.723
117,157,1,3.862,165,1.482,135,727,55,1.034
45,7,1,1.293,29,820,30,171,12,541
64,10,0,1.262,16,614,62,169,3,477
296,20,1,3.214,116,2.870,245,567,12,2.293
164,26,1,6.171,223,4.348,957,1.740,5,2.842
145,7,0,2.210,49,1.467,177,363,5,1.070
128,16,3,3.330,70,1.886,157,741,3,1.351
323,57,0,3.854,96,2.287,292,604,20,1.914
104,24,0,2.126,76,1.124,114,358,5,817
20,3,0,1.528,36,191,55,211,6,161
361,27,1,4.130,102,6.685,771,1.006,10,4.823
72,6,1,1.049,26,495,52,162,6,421
40,4,4,3.723,147,953,266,911,3,704
175,30,0,2.742,46,1.852,168,634,12,1.441
372,36,7,3.406,116,5.654,1.146,672,13,4.452
43,5,0,1.221,18,472,51,117,3,363
171,102,5,4.827,318,2.425,573,1.284,2,1.710
372,214,9,7.502,338,8.448,1.522,1.397,112,5.476
1.193,97,8,10.243,388,14.936,2.050,2.012,28,11.756
180,33,0,3.828,111,1.723,242,605,5,1.287
73,12,1,2.301,40,706,150,436,9,543
169,17,0,3.535,68,1.275,110,599,19,1.045
51,8,0,1.406,22,1.073,76,183,12,745
207,10,2,2.496,66,2.014,262,444,7,1.639
116,6,0,2.304,42,1.187,79,495,6,894
153,65,2,3.221,137,3.597,227,514,29,2.186
244,83,5,7.561,215,2.692,259,1.330,16,2.134
127,9,0,1.978,61,1.063,176,312,4,858
59,2,0,1.378,50,1.084,120,269,2,719
34,5,0,732,27,217,7,64,5,171
37,0,0,975,6,398,46,86,3,323
300,14,5,3.200,90,4.969,834,731,4,3.843
106,23,2,5.132,188,2.941,572,1.565,5,1.907
1.193,97,8,10.243,388,14.936,2.050,2.012,28,11.756
205,133,10,11.755,282,8.882,940,1.774,104,4.612
92,15,2,2.379,41,3.183,346,431,14,2.014
241,52,1,3.306,100,1.449,227,545,9,1.185
269,11,7,4.821,71,6.084,789,1.064,8,4.266
49,10,0,2.334,47,738,89,322,5,619
181,17,8,3.926,62,2.648,588,790,8,1.844
205,133,10,11.755,282,8.882,940,1.774,104,4.612
103,32,4,5.497,184,3.285,741,1.296,15,2.048
494,35,10,6.647,179,9.597,1.042,1.513,18,6.795
345,36,4,6.153,158,7.680,861,1.442,7,5.274
331,20,5,6.789,69,7.729,1.351,1.462,8,5.364
304,22,3,6.827,92,6.550,661,1.394,10,4.478
11,0,0,728,40,553,92,265,1,347
49,22,3,1.972,45,601,85,119,26,468
100,13,5,5.376,70,2.204,168,919,9,1.353
24,7,2,3.225,18,492,100,505,7,355
924,1.097,100,39.152,1.107,85.391,6.142,3.269,816,29.297
543,102,5,8.716,269,6.470,1.332,1.973,10,5.240
67,44,1,2.921,124,622,123,564,6,529
12,0,0,1.108,17,198,20,103,6,149
37,28,1,2.142,52,1.346,44,215,25,745
160,4,3,2.589,27,3.281,778,623,2,2.367
86,10,0,2.011,43,787,89,206,14,613
679,88,12,13.015,318,12.885,2.132,3.021,48,8.756
229,96,5,4.817,318,3.140,497,669,46,2.170
269,67,4,3.848,168,2.573,162,779,21,2.001
66,30,2,1.221,34,534,41,88,17,432
69,3,2,1.662,46,851,74,256,5,615
39,10,0,1.694,31,885,46,208,9,537
89,17,0,2.771,60,1.495,165,515,3,1.058
112,57,1,2.634,136,912,105,473,6,752
61,10,0,2.741,40,954,95,627,5,691
230,7,2,2.785,78,2.225,254,471,13,1.652
526,38,3,5.296,151,3.082,627,994,16,2.564
94,27,0,2.320,48,634,112,399,6,509
179,10,2,3.154,39,3.624,435,733,3,2.560
316,55,4,5.253,88,4.422,792,1.395,6,3.372
56,28,0,1.930,63,469,39,216,23,381
101,61,3,3.093,86,1.782,253,560,34,1.307
60,2,1,2.059,86,828,106,324,4,612
96,0,1,1.839,27,2.516,328,359,11,1.687
203,16,1,2.613,38,3.557,445,764,2,2.561
93,17,1,2.354,43,2.015,174,530,4,1.360
161,21,0,2.831,44,1.065,94,485,17,890
59,6,0,1.214,16,573,62,133,9,460
123,21,0,2.575,77,853,119,446,23,710
77,9,0,1.083,23,717,67,106,53,571
51,7,1,1.327,10,598,65,187,3,460
107,22,2,1.849,41,2.246,220,313,14,1.498
86,5,1,1.731,52,464,91,277,3,447
701,171,15,9.110,935,12.027,1.083,1.649,41,8.204
52,3,0,1.086,14,522,58,129,3,420
196,34,1,2.961,42,2.357,244,788,5,1.765
548,51,4,5.962,222,9.743,1.247,1.516,30,7.175
487,26,3,5.259,112,8.712,1.259,1.298,18,6.198
108,11,2,2.423,43,1.630,156,438,4,1.139
147,6,0,1.928,25,1.101,203,369,7,870
1.561,2.385,146,78.218,1.823,198.881,8.865,4.189,1.736,51.902
185,15,2,3.380,102,2.642,209,792,10,1.855
33,6,2,1.019,51,258,59,132,3,195
183,24,1,3.722,76,1.825,355,701,18,1.403
63,0,0,1.598,55,1.507,153,343,3,955
0,0,0,3,0,0,0,2,0,0
35,16,1,924,40,183,12,109,8,178
548,51,4,5.962,222,9.743,1.247,1.516,30,7.175
309,210,10,6.993,379,12.763,1.573,1.446,174,7.017
1.048,28,26,14.127,442,24.555,3.098,3.012,16,15.343
946,87,21,14.124,577,20.358,2.126,2.810,10,12.840
111,14,6,1.779,61,6.224,936,741,13,3.602
328,63,4,4.155,170,4.547,441,1.113,95,3.306
106,24,0,2.406,62,925,158,799,20,702
111,14,6,1.779,61,6.224,936,741,13,3.602
43,3,1,838,28,1.174,91,189,3,804
46,13,0,1.082,12,1.105,185,370,8,768
80,14,2,988,12,1.008,211,260,16,786
686,426,36,11.514,791,27.874,2.885,1.995,596,14.772
81,16,1,1.420,42,851,49,367,15,659
237,426,11,4.548,573,7.594,805,668,340,4.591
421,30,9,3.246,87,7.390,1.603,1.482,6,5.510
297,18,12,3.107,58,7.182,1.077,1.265,5,5.047
106,23,2,5.132,188,2.941,572,1.565,5,1.907
72,37,1,964,37,725,62,302,41,567
45,20,1,1.280,51,521,61,302,8,392
102,12,1,1.150,47,1.900,179,324,6,1.251
339,17,20,3.768,70,8.128,1.674,1.336,12,5.773
48,6,0,1.032,30,1.356,136,282,18,945
35,16,0,856,22,1.085,109,247,15,721
91,34,1,1.620,53,1.117,65,533,16,858
73,10,1,597,31,450,61,144,16,391
203,42,4,4.290,246,3.556,571,1.002,34,2.316
256,54,3,4.144,108,3.967,619,1.275,16,2.948
60,10,1,1.000,23,1.032,151,258,8,743
158,20,6,2.528,82,4.207,429,838,17,2.817
144,188,7,4.233,408,4.270,437,1.033,56,2.746
61,40,1,2.457,136,2.735,302,611,24,1.716
36,16,1,2.281,58,1.529,198,645,6,947
35,13,1,2.208,87,1.833,216,610,10,1.147
65,4,0,1.100,21,808,76,361,3,595
195,42,4,2.604,80,3.547,469,960,6,2.492
289,101,9,3.554,185,5.728,747,1.068,75,4.117
452,61,3,4.258,189,4.448,325,855,20,3.210
78,24,0,1.502,59,1.553,172,473,9,1.030
112,21,1,2.410,74,1.495,162,737,1,1.180
321,27,9,3.563,106,4.701,908,1.032,10,3.699
82,23,0,1.221,56,687,52,272,20,509
67,40,0,2.713,118,1.132,84,1.038,11,759
47,7,0,833,27,949,45,162,23,574
109,13,6,1.968,54,4.457,629,717,16,2.717
339,17,20,3.768,70,8.128,1.674,1.336,12,5.773
75,5,1,946,32,1.433,150,277,2,988
27,7,0,1.265,22,772,61,402,5,527
70,24,1,1.145,30,1.494,199,406,9,1.086
715,521,44,19.307,2.208,12.062,3.554,4.062,52,8.080
137,47,2,2.271,67,2.111,218,655,23,1.636
103,20,1,1.326,40,1.258,156,331,5,933
9,3,0,839,19,298,68,222,2,211
117,19,2,1.748,43,1.435,123,580,36,1.095
170,58,7,3.887,234,4.153,639,880,28,2.531
99,17,3,2.585,95,2.521,354,835,5,1.543
187,33,2,1.858,52,1.570,387,525,17,1.291
77,4,1,1.495,56,1.867,253,492,7,1.221
154,84,4,3.047,205,3.207,488,1.140,16,2.204
165,35,2,3.026,127,1.822,202,746,12,1.422
97,4,2,1.940,66,1.720,142,506,11,1.154
618,389,30,13.502,815,30.528,3.534,2.172,513,15.739
269,48,6,2.538,88,5.110,563,839,6,3.695
124,15,7,1.740,35,4.326,571,582,17,2.760
34,3,3,1.220,28,677,135,242,6,490
130,19,1,2.817,44,3.548,355,755,9,2.415
168,34,0,4.488,93,1.335,128,855,8,1.021
80,9,0,886,22,1.971,235,280,1,1.339
57,5,2,1.901,31,323,100,129,10,276
801,58,14,16.324,560,16.315,2.087,2.823,16,10.150
74,11,1,2.831,50,1.362,72,214,13,863
76,7,1,2.660,28,1.501,174,221,7,971
148,13,2,3.326,45,2.538,281,638,3,1.754
64,8,0,3.222,81,828,180,336,3,603
305,396,13,11.686,475,14.743,926,1.433,355,7.429
0,0,0,3,0,0,0,0,0,0
421,30,9,3.246,87,7.390,1.603,1.482,6,5.510
144,188,7,4.233,408,4.270,437,1.033,56,2.746
61,40,1,2.457,136,2.735,302,611,24,1.716
35,13,1,2.208,87,1.833,216,610,10,1.147
36,16,1,2.281,58,1.529,198,645,6,947
34,1,1,1.272,41,868,119,352,5,625
1.430,101,38,12.500,809,30.086,3.379,2.964,24,19.178
1.265,68,33,13.461,640,27.686,3.732,2.959,32,17.424
23,8,0,1.517,39,811,149,458,5,576
168,172,3,5.872,316,4.084,578,1.376,22,2.831
67,22,5,1.687,38,1.760,189,339,57,1.168
213,21,10,3.379,59,7.407,1.306,1.124,15,4.964
47,15,1,1.464,29,1.381,131,371,14,919
216,21,8,3.054,70,5.834,717,1.050,16,3.954
468,151,16,5.321,222,10.249,1.880,1.484,32,7.340
126,38,9,2.404,103,8.104,1.057,856,42,4.569
23,46,3,1.636,38,457,23,422,38,336
115,54,4,2.002,112,2.469,253,532,24,1.573
381,291,13,5.687,291,8.264,923,1.504,83,5.592
150,39,2,2.710,79,2.557,484,701,45,1.904
59,9,1,1.223,13,1.667,153,353,5,1.017
43,15,0,1.625,39,687,93,497,10,503
36,6,1,929,20,564,97,238,6,445
98,65,3,1.304,51,3.091,356,368,51,2.005
127,57,2,2.335,107,1.797,190,645,13,1.325
367,351,12,7.654,718,15.034,1.967,1.405,258,8.386
69,45,5,1.622,69,1.604,299,376,42,1.101
106,31,7,1.901,76,7.047,908,802,38,4.068
85,36,1,2.039,133,1.852,179,654,7,1.274
29,19,2,578,32,328,24,133,16,243
70,6,1,1.382,25,1.400,264,500,7,960
382,1.084,19,12.704,778,21.602,1.159,1.464,693,10.734
131,21,3,3.169,107,2.800,309,900,8,1.774
838,174,9,13.936,404,13.188,2.181,3.261,60,9.135
92,34,6,2.090,69,7.557,1.037,860,26,4.225
381,74,13,4.792,201,8.198,1.018,1.622,9,5.749
87,34,1,2.060,124,2.169,222,446,26,1.421
65,13,0,1.621,29,1.046,138,405,25,723
320,97,12,5.024,226,8.550,1.036,1.503,149,5.491
421,427,24,11.792,537,15.359,3.004,2.288,65,9.383
,,,,,,,,,
130,18,5,2.257,54,3.588,293,569,35,2.371
17,10,1,721,14,672,53,185,9,436
52,58,4,1.087,63,2.368,291,295,29,1.496
60,12,1,1.186,33,1.635,174,310,13,1.041
300,162,15,5.323,295,6.272,1.321,2.028,23,4.277
28,16,0,650,18,312,23,188,18,228
61,33,0,1.996,74,1.067,109,606,8,725
194,25,11,2.590,63,5.260,746,1.019,6,3.539
345,26,9,2.111,67,5.390,1.718,807,5,4.055
20,38,1,441,26,262,10,103,17,188
82,22,2,1.071,41,870,78,337,4,682
351,245,9,5.455,481,7.033,1.100,1.523,51,4.991
133,62,2,2.078,88,2.847,387,495,35,1.980
13,8,0,434,15,235,14,103,5,155
70,23,0,1.096,55,858,202,262,9,665
71,8,1,1.354,38,1.708,147,393,12,1.089
38,3,0,309,5,249,14,75,30,204
37,7,0,506,15,621,64,154,12,394
315,38,3,3.957,169,3.305,1.030,1.035,12,2.604
120,17,1,1.253,23,2.203,350,468,22,1.561
188,77,7,3.308,123,5.130,702,942,15,3.623
130,84,6,3.985,205,3.418,588,866,10,2.114
62,4,1,1.086,36,1.445,165,303,13,937
101,99,1,1.382,128,1.400,147,257,96,986
1,1,3,115,5,135,31,40,3,83
367,351,12,7.654,718,15.034,1.967,1.405,258,8.386
116,174,27,3.910,1.110,1.733,458,1.014,9,1.238
246,182,11,6.598,369,13.107,926,1.251,225,6.796
217,11,7,3.474,64,8.536,1.464,1.195,15,5.690
34,6,0,1.317,41,1.092,128,367,7,752
193,190,13,4.539,259,9.891,1.523,882,166,5.873
2.109,80,47,10.775,633,39.770,5.687,2.793,45,26.256
72,21,5,1.717,28,2.322,206,377,25,1.508
240,56,6,3.256,120,8.510,1.137,728,77,5.403
177,58,4,3.188,101,2.802,460,917,46,1.960
118,85,0,3.642,235,2.073,446,996,8,1.579
282,58,26,2.754,194,18.696,2.287,1.096,172,10.747
13,2,1,264,5,168,9,64,16,112
142,31,11,2.636,142,2.223,458,781,9,1.556
223,16,13,3.318,73,7.967,1.325,1.229,7,5.301
1.924,91,62,12.252,931,37.781,5.673,3.138,34,24.435
93,17,2,1.839,40,1.716,295,630,11,1.167
117,157,1,3.862,165,1.482,135,727,55,1.034
113,26,3,2.075,58,2.618,189,498,74,1.786
113,18,1,1.459,32,1.243,287,363,20,937
203,33,6,2.993,95,7.704,1.054,674,46,4.881
166,61,15,2.634,105,10.214,1.263,912,92,5.839
167,77,8,6.415,111,8.417,1.180,2.081,46,5.109
227,350,2,5.165,261,3.713,287,1.499,119,2.643
35,3,3,631,16,479,98,150,10,374
39,35,2,2.232,122,1.611,228,650,5,1.038
35,16,0,768,33,482,51,155,12,365
139,45,6,2.801,152,5.008,583,729,57,2.818
190,58,0,3.637,112,3.346,524,1.055,27,2.399
149,64,4,3.917,235,2.382,453,1.368,12,1.734
158,23,9,1.685,67,2.275,523,419,34,1.527
99,31,1,3.371,262,3.024,553,789,10,1.983
7,1,0,447,7,380,19,118,10,245
331,153,8,7.871,405,13.126,1.221,1.856,239,8.213
192,61,9,2.315,142,14.139,1.901,1.076,85,8.075
267,37,16,3.513,102,5.684,1.882,980,27,4.442
332,50,6,3.824,125,7.983,993,1.245,24,5.482
14,1,0,258,15,166,11,50,4,102
52,20,2,1.062,32,918,95,275,30,645
34,18,0,986,58,632,46,224,8,422
21,7,0,592,18,496,35,163,13,326
62,7,3,1.600,50,2.002,200,471,6,1.221
85,55,2,1.924,77,2.087,126,460,60,1.432
69,19,1,1.397,63,1.813,155,307,15,1.157
74,69,8,2.903,93,3.178,365,879,33,2.052
29,14,1,588,28,529,36,156,20,369
401,184,52,12.547,466,23.683,4.851,3.502,103,13.290
82,43,6,2.711,166,2.127,391,677,16,1.472
234,301,34,4.769,443,12.565,1.745,1.093,141,7.441
58,13,0,851,22,1.068,67,168,32,684
51,15,2,946,13,784,77,219,23,532
596,622,58,5.460,668,18.544,2.597,1.376,228,11.404
6,18,0,693,14,288,32,152,24,205
107,29,2,2.695,51,1.851,249,753,17,1.286
68,10,2,2.255,37,2.730,184,585,11,1.552
26,12,1,664,26,538,47,137,12,344
56,26,2,696,30,1.124,119,152,38,770
13,13,0,500,11,267,9,133,17,176
87,29,5,3.004,76,3.379,221,749,10,1.904
